Andrew Garfield, [ 0.0007462108597476706 ]
Paul Newman, [ 0.000743089914447499 ]
Joel Edgerton, [ 0.0007381337017325058 ]
Ellen Page, [ 0.0007336399839393918 ]
Don Cheadle, [ 0.0007322513397197372 ]
Barbara O'Neil, [ 0.0007311999144034658 ]
Jodie Foster, [ 0.0007293366064177407 ]
Hugo Weaving, [ 0.0007188464985038731 ]
Miyu Irino, [ 0.0007180680625536565 ]
Jim Carrey, [ 0.0007177347882714303 ]
Marilyn Monroe, [ 0.0007155168422324144 ]
Mackenzie Foy, [ 0.0007128560103031261 ]
John Cazale, [ 0.0007121767200536161 ]
Pupella Maggio, [ 0.0007057819616293249 ]
Sebastian Stan, [ 0.0007047900031376076 ]
Leopoldo Trieste, [ 0.0006947087799628341 ]
Peter Brocco, [ 0.00069461909812837 ]
Daniel Radcliffe, [ 0.0006880622181102214 ]
Michelle Pfeiffer, [ 0.0006840764588686349 ]
Anthony Brophy, [ 0.0006823539312629326 ]
Christopher Walken, [ 0.000681938390344608 ]
Mitsuo Iwata, [ 0.000676742301286205 ]
Hisako Kyôda, [ 0.0006747208614244157 ]
Peter Lorre, [ 0.0006683298602352536 ]
Jake Gyllenhaal, [ 0.0006672936786744074 ]
Tom Sizemore, [ 0.0006616443011491487 ]
Lee Pace, [ 0.0006612227615662014 ]
Edward Fox, [ 0.0006589060184086569 ]
Jack Hawkins, [ 0.0006564170921906671 ]
Vincent Cassel, [ 0.0006515109755734957 ]
Peter Boyle, [ 0.0006512507844154252 ]
Minnie Driver, [ 0.0006430375752978157 ]
Tatsuya Nakadai, [ 0.0006398020606169992 ]
Robert Downey Jr., [ 0.0006370983079210009 ]
Johnny Depp, [ 0.000635741682216007 ]
Dickie Gravois, [ 0.0006352576357394505 ]
Arnold Schwarzenegger, [ 0.0006330949831871051 ]
Edward Norton, [ 0.0006287060577855672 ]
Rachel McAdams, [ 0.0006231036511964266 ]
Ingrid Bergman, [ 0.000622930025831284 ]
Billy Bob Thornton, [ 0.000621254975686349 ]
Agnese Nano, [ 0.0006182031780694831 ]
Alexandra Maria Lara, [ 0.0006180699110377671 ]
Mustafa Kamel, [ 0.0006180034041967834 ]
Natalie Portman, [ 0.000617142622562712 ]
Willem Dafoe, [ 0.0006120439578964037 ]
James Caan, [ 0.0006109346889827956 ]
Sharon Stone, [ 0.0006104224502963783 ]
Henry Fonda, [ 0.0006088472194464813 ]
Donna Reed, [ 0.0006086323572807471 ]
Frankie McCafferty, [ 0.0005976822755587722 ]
Don Rickles, [ 0.000597472083133402 ]
Martin Balsam, [ 0.0005960505785705903 ]
Ethan Hawke, [ 0.000587885459434357 ]
Laura Lovelace, [ 0.0005874080249276293 ]
Orson Welles, [ 0.000585620046185464 ]
Keith David, [ 0.0005835879029703596 ]
Mathieu Amalric, [ 0.0005833902398031885 ]
Bibi Andersson, [ 0.0005831660151687869 ]
Linda Cardellini, [ 0.0005821202813491363 ]
Gunnar Björnstrand, [ 0.0005818570157752102 ]
Trevor Howard, [ 0.0005814113957676937 ]
Tim Allen, [ 0.000581302811077575 ]
Malcolm McDowell, [ 0.0005797847219308561 ]
Michael Rooker, [ 0.0005791732218098113 ]
Anthony Daniels, [ 0.0005788290022607237 ]
Geoffrey Rush, [ 0.0005768751251560806 ]
Edward Arnold, [ 0.0005717759502177651 ]
Kevin Pollak, [ 0.0005708887096308471 ]
Sally Field, [ 0.0005701983426620653 ]
Rupert Grint, [ 0.0005674739943177093 ]
Dorothy Comingore, [ 0.0005635926492808075 ]
Patrick Magee, [ 0.0005620323520380003 ]
Alon Aboutboul, [ 0.0005610990764594065 ]
Amiée Conn, [ 0.0005564712848542248 ]
Leandro Firmino, [ 0.0005557545849883437 ]
John Lithgow, [ 0.0005554722158206181 ]
Clark Gable, [ 0.0005542435097187157 ]
Cate Blanchett, [ 0.0005497416870189838 ]
Jack Lemmon, [ 0.0005473007020848176 ]
Anthony Hopkins, [ 0.0005400893980149834 ]
Salvatore Cascio, [ 0.0005365865842071257 ]
Chadwick Boseman, [ 0.0005365163883402186 ]
Woody Allen, [ 0.0005336790665354469 ]
Mary Elizabeth Mastrantonio, [ 0.0005330465913262086 ]
Paul Warriner, [ 0.0005329650864855312 ]
Claudia Cardinale, [ 0.0005297927454757541 ]
Yô Ôizumi, [ 0.0005265824745248571 ]
Gorô Naya, [ 0.0005257565153956467 ]
Nestor Carbonell, [ 0.0005247754932478988 ]
Bill Murray, [ 0.0005204700274982176 ]
Kenny Baker, [ 0.0005179102432269605 ]
Ben Mendelsohn, [ 0.0005171420059533695 ]
Billy Dee Williams, [ 0.0005146902368375216 ]
Peter O'Toole, [ 0.0005144256737925669 ]
Jon Seda, [ 0.0005135378054332078 ]
Vivien Leigh, [ 0.0005131227469498004 ]
Anthony Perkins, [ 0.0005122930844202289 ]
Andrew Kevin Walker, [ 0.0005122899647124874 ]
Aaron Eckhart, [ 0.0005107412781813596 ]
Rosamund Pike, [ 0.000507432557644152 ]
Mari Natsuki, [ 0.0005039074123183572 ]
Robin Wright, [ 0.0005036201485280777 ]
Ali Astin, [ 0.0005034763809136599 ]
Tom Berenger, [ 0.000502199776592821 ]
Heath Ledger, [ 0.0004990338963352481 ]
Pom Klementieff, [ 0.000498032090442397 ]
Ken Watanabe, [ 0.0004958565730780847 ]
Bryan Batt, [ 0.0004950059499268453 ]
Peter Mayhew, [ 0.0004940571242324774 ]
Gregory Peck, [ 0.0004928624287848019 ]
Donald O'Connor, [ 0.0004914059729656565 ]
Mitsunori Isaki, [ 0.0004907327328999651 ]
Tano Cimarosa, [ 0.0004902821581587946 ]
John Megna, [ 0.0004892445969482626 ]
Dean R. Brooks, [ 0.00048745199868657535 ]
Maggie Gyllenhaal, [ 0.00048692988327490275 ]
Darío Grandinetti, [ 0.0004865881773588537 ]
Liev Schreiber, [ 0.00048553531262059195 ]
Emma Watson, [ 0.00048502050796385334 ]
Ray Collins, [ 0.00048385525011269883 ]
David Prowse, [ 0.0004838229963271408 ]
Julian Walsh, [ 0.000481776349365451 ]
